Customer ID,Recency,Frequency,Monetary,Cluster,Customer Segment,DBSCAN_Cluster,GMM_Cluster,Churn
12346.0,326,12,148773.08000000002,1,Regular,-1,3,1
12347.0,2,8,17947.32,4,New Customers,0,4,0
12348.0,75,5,24739.88,4,New Customers,0,2,0
12349.0,19,4,58893.75,4,New Customers,0,2,0
12350.0,310,1,3116.6,1,Regular,0,5,1
12351.0,375,1,1059.84,1,Regular,0,5,1
12352.0,36,10,185106.98500000002,4,New Customers,0,3,0
12353.0,204,2,1348.06,4,New Customers,0,0,1
12354.0,232,1,4725.74,4,New Customers,0,0,1
12355.0,214,2,2800.4,4,New Customers,0,0,1
12356.0,23,6,58793.248,4,New Customers,0,2,0
12357.0,33,3,153487.132,4,New Customers,0,3,0
12358.0,2,5,39867.625,4,New Customers,0,2,0
12359.0,58,10,38055.41,4,New Customers,0,2,0
12360.0,52,8,46490.94,4,New Customers,0,2,0
12361.0,287,4,5398.15,1,Regular,0,0,1
12362.0,3,11,52512.24,4,New Customers,0,2,0
12363.0,110,2,2907.12,4,New Customers,0,0,0
12364.0,8,4,9828.06,4,New Customers,0,4,0
12365.0,291,2,62961.8865,1,Regular,0,3,1
12366.0,634,1,1425.6839999999997,1,Regular,0,5,1
12367.0,4,1,1434.3,4,New Customers,0,5,0
12368.0,628,1,4620.42,1,Regular,0,0,1
12369.0,413,3,19710.752,1,Regular,0,3,1
12370.0,51,7,65625.42,4,New Customers,0,2,0
12371.0,45,5,50437.090000000004,4,New Customers,0,2,0
12372.0,72,3,9881.36,4,New Customers,0,4,0
12373.0,311,3,15290.95,1,Regular,0,0,1
12374.0,25,4,30182.93,4,New Customers,0,2,0
12375.0,11,2,6819.1,4,New Customers,0,4,0
12376.0,390,2,8162.35,1,Regular,0,0,1
12377.0,315,4,22007.06,1,Regular,0,3,1
12378.0,130,2,22424.08,4,New Customers,0,4,0
12379.0,82,4,14829.0,4,New Customers,0,4,0
12380.0,22,11,376827.23550000007,0,At Risk,-1,3,0
12381.0,5,5,25109.74,4,New Customers,0,2,0
12383.0,185,5,18061.37,4,New Customers,0,4,1
12384.0,29,2,10635.25,4,New Customers,0,4,0
12385.0,379,1,23564.0,1,Regular,0,3,1
12386.0,338,2,1158.9,1,Regular,0,0,1
12387.0,415,1,503.4,1,Regular,0,5,1
12388.0,16,8,14257.630000000001,4,New Customers,0,4,0
12389.0,403,3,5623.83,1,Regular,0,0,1
12390.0,80,1,4411.46,4,New Customers,0,4,0
12391.0,22,6,11186.09,4,New Customers,0,4,0
12392.0,591,1,789.2,1,Regular,0,5,1
12393.0,72,6,10678.68,4,New Customers,0,4,0
12394.0,64,2,25045.088,4,New Customers,0,2,0
12395.0,19,15,42939.82,4,New Customers,0,2,0
12396.0,674,1,3373.03,1,Regular,0,5,1
12397.0,36,2,18727.24,4,New Customers,0,2,0
12398.0,46,1,16200.68,4,New Customers,0,2,0
12399.0,119,7,14085.34,4,New Customers,0,4,0
12400.0,414,1,870.2,1,Regular,0,5,1
12401.0,303,1,1168.65,1,Regular,0,5,1
12402.0,323,6,12388.05,1,Regular,0,0,1
12403.0,50,2,11817.392,4,New Customers,0,4,0
12404.0,682,1,2023.68,1,Regular,0,5,1
12405.0,149,1,21601.28,4,New Customers,0,4,0
12406.0,22,5,32888.68,4,New Customers,0,2,0
12407.0,50,5,16453.87,4,New Customers,0,4,0
12408.0,33,8,36437.82,4,New Customers,0,2,0
12409.0,79,7,102123.0,4,New Customers,0,2,0
12410.0,309,3,15322.23,1,Regular,0,0,1
12411.0,410,1,1402.05,1,Regular,0,5,1
12412.0,75,6,18600.15,4,New Customers,0,4,0
12413.0,67,4,22318.9,4,New Customers,0,2,0
12414.0,217,6,60679.45,4,New Customers,0,3,1
12415.0,24,28,622977.1,0,At Risk,-1,3,0
12416.0,657,1,1073.4,1,Regular,0,5,1
12417.0,3,20,130429.56,0,At Risk,0,2,0
12418.0,113,4,12698.27,4,New Customers,0,4,0
12419.0,386,2,7212.41,1,Regular,0,0,1
12420.0,64,1,2314.7599999999998,4,New Customers,0,5,0
12421.0,16,6,14673.53,4,New Customers,0,4,0
12422.0,96,17,495730.865,0,At Risk,-1,3,0
12423.0,1,10,53482.7,4,New Customers,0,2,0
12424.0,163,4,13053.912,4,New Customers,0,0,0
12425.0,78,2,6996.7300000000005,4,New Customers,0,4,0
12426.0,195,2,12587.75,4,New Customers,0,0,1
12427.0,22,3,8851.52,4,New Customers,0,4,0
12428.0,26,9,186159.69900000002,4,New Customers,0,3,0
12429.0,9,8,87500.8,4,New Customers,0,2,0
12430.0,43,1,2786.28,4,New Customers,0,5,0
12431.0,36,27,145730.524,0,At Risk,0,2,0
12432.0,43,5,52380.86,4,New Customers,0,2,0
12433.0,1,10,80559.529,4,New Customers,0,2,0
12434.0,85,3,5323.83,4,New Customers,0,4,0
12435.0,80,6,60891.3835,4,New Customers,0,2,0
12436.0,100,1,6211.33,4,New Customers,0,4,0
12437.0,2,39,116229.064,0,At Risk,0,2,0
12438.0,14,2,31247.14,4,New Customers,0,2,0
12439.0,683,2,4805.83,1,Regular,0,0,1
12440.0,462,2,11042.76,1,Regular,0,0,1
12441.0,367,1,1466.55,1,Regular,0,5,1
12442.0,3,1,2159.48,4,New Customers,0,5,0
12443.0,732,1,7267.48,1,Regular,0,0,1
12444.0,21,5,62137.39,4,New Customers,0,2,0
12445.0,22,2,4579.1900000000005,4,New Customers,0,4,0
12446.0,58,1,5109.88,4,New Customers,0,4,0
12447.0,243,1,4341.18,4,New Customers,0,0,1
12448.0,44,1,5892.79,4,New Customers,0,4,0
12449.0,22,6,93029.348,4,New Customers,0,2,0
12450.0,156,5,2977.81,4,New Customers,0,0,0
12451.0,11,8,56975.73,4,New Customers,0,2,0
12452.0,17,2,5593.0,4,New Customers,0,4,0
12453.0,134,1,2862.82,4,New Customers,0,5,0
12454.0,56,5,69684.595,4,New Customers,0,2,0
12455.0,73,10,70024.872,4,New Customers,0,2,0
12456.0,44,3,40523.53,4,New Customers,0,2,0
12457.0,66,8,66283.38,4,New Customers,0,2,0
12458.0,71,4,20580.57,4,New Customers,0,4,0
12459.0,605,1,4372.78,1,Regular,0,0,1
12460.0,456,1,2647.6,1,Regular,0,5,1
12461.0,94,2,14768.35,4,New Customers,0,4,0
12462.0,19,2,16669.76,4,New Customers,0,2,0
12463.0,53,4,12018.12,4,New Customers,0,4,0
12464.0,10,8,19174.075,4,New Customers,0,4,0
12465.0,17,2,5966.88,4,New Customers,0,4,0
12466.0,682,1,1815.36,1,Regular,0,5,1
12467.0,423,1,499.3,1,Regular,0,5,1
12468.0,188,5,33710.332,4,New Customers,0,3,1
12469.0,523,2,8663.44,1,Regular,0,0,1
12470.0,690,1,879.05,1,Regular,0,5,1
12471.0,2,79,408201.099,0,At Risk,-1,3,0
12472.0,32,19,126907.31,0,At Risk,0,2,0
12473.0,29,5,229451.19,4,New Customers,-1,3,0
12474.0,17,31,98479.46,0,At Risk,0,2,0
12475.0,54,2,8332.5,4,New Customers,0,4,0
12476.0,16,23,149776.26,0,At Risk,0,2,0
12477.0,23,9,118247.565,4,New Customers,0,2,0
12478.0,4,1,9314.84,4,New Customers,0,4,0
12479.0,11,1,4740.78,4,New Customers,0,4,0
12480.0,28,7,51479.020000000004,4,New Customers,0,2,0
12481.0,23,15,106127.615,4,New Customers,0,2,0
12482.0,576,29,416115.06200000003,0,At Risk,-1,3,1
12483.0,17,19,69652.65,0,At Risk,0,2,0
12484.0,33,12,61908.774,4,New Customers,0,2,0
12485.0,529,1,2930.0,1,Regular,0,5,1
12486.0,432,1,9245.65,1,Regular,0,0,1
12487.0,731,1,1297.8000000000002,1,Regular,0,5,1
